bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,log_pages,log_ratings,log_reviews,z_score,z_cat,decile,revRate,sqrt_pages,sizerating^2,size0,sizeZ0^2,size5,size10,size^2,size^3,sizesqrtpages,sizeRevRate,z_color
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,439785960,9.78E+12,eng,652,1944099,26249,6.480044562,14.48030919,10.17538317,2.390453241,6,10,0.013501884,25.53429067,20.7936,10.40545324,108.2734572,11.9522662,23.90453241,5.714266697,13.65968735,25.53429067,1.3501884,0.892561984
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,439358078,9.78E+12,eng,870,1996446,27613,6.768493212,14.50687916,10.22604196,2.117073212,6,10,0.013831078,29.49576241,20.1601,10.13207321,102.6589076,10.58536606,21.17073212,4.481998985,9.488719987,29.49576241,1.3831078,0.863636364
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,439554934,9.78E+12,eng,320,5629932,70390,5.768320996,15.54360792,11.16180649,2.038964632,6,10,0.012502815,17.88854382,19.9809,10.05396463,101.0822048,10.19482316,20.38964632,4.157376771,8.476744197,17.88854382,1.2502815,0.855371901
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,439554896,9.78E+12,eng,352,6267,272,5.863631176,8.74305305,5.605802066,1.804638893,5,10,0.043401947,18.76166304,19.4481,9.819638893,96.42530799,9.023194465,18.04638893,3.256721534,5.877206344,18.76166304,4.3401947,0.830578512
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,9.78E+12,eng,435,2149872,33964,6.075346031,14.58091886,10.43305642,2.351398951,6,10,0.01579815,20.85665361,20.7025,10.36639895,107.4622272,11.75699476,23.51398951,5.529077027,13.00106592,20.85665361,1.579815,0.888429752
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78E+12,eng,815,3602,258,6.703188113,8.189244526,5.552959585,1.687476024,5,10,0.071626874,28.54820485,19.1844,9.702476024,94.138041,8.43738012,16.87476024,2.847575332,4.805215099,28.54820485,7.1626874,0.818181818
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,345453743,9.78E+12,eng,815,240189,3954,6.703188113,12.38918139,8.282483004,1.687476024,5,10,0.016462036,28.54820485,19.1844,9.702476024,94.138041,8.43738012,16.87476024,2.847575332,4.805215099,28.54820485,1.6462036,0.818181818
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.78E+12,eng,215,4416,408,5.370638028,8.392989588,6.011267174,1.062607386,5,9,0.092391304,14.6628783,17.8084,9.077607386,82.40295585,5.31303693,10.62607386,1.129134457,1.199826614,14.6628783,9.2391304,0.752066116
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,739322206,9.78E+12,eng,6,1222,253,1.791759469,7.10824414,5.533389489,1.062607386,5,9,0.207037643,2.449489743,17.8084,9.077607386,82.40295585,5.31303693,10.62607386,1.129134457,1.199826614,2.449489743,20.7037643,0.752066116
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,517149257,9.78E+12,en-US,815,2801,192,6.703188113,7.937731775,5.257495372,1.687476024,5,10,0.068546948,28.54820485,19.1844,9.702476024,94.138041,8.43738012,16.87476024,2.847575332,4.805215099,28.54820485,6.8546948,0.818181818
