bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,439785960,9.78044E+12,eng,652,1944099,26249
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,439358078,9.78044E+12,eng,870,1996446,27613
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,439554934,9.78044E+12,eng,320,5629932,70390
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,439554896,9.78044E+12,eng,352,6267,272
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,9.78044E+12,eng,435,2149872,33964
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,439682584,9.78044E+12,eng,2690,38872,154
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78044E+12,eng,3342,27410,820
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78052E+12,eng,815,3602,258
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,345453743,9.78035E+12,eng,815,240189,3954
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.7814E+12,eng,215,4416,408
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,739322206,9.78074E+12,eng,6,1222,253
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,517149257,9.78052E+12,en-US,815,2801,192
21,A Short History of Nearly Everything,Bill Bryson-William Roberts,4.2,076790818X,9.78077E+12,eng,544,228522,8840
22,Bill Bryson's African Diary,Bill Bryson,3.43,767915062,9.78077E+12,eng,55,6993,470
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,767910435,9.78077E+12,eng,256,2020,124
24,In a Sunburned Country,Bill Bryson,4.07,767903862,9.78077E+12,eng,335,68213,4077
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9.78077E+12,eng,304,47490,2153
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9.78006E+12,en-US,299,43779,2146
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.87,380713802,9.78038E+12,eng,254,46397,2127
28,Notes from a Small Island,Bill Bryson,3.92,380727501,9.78038E+12,eng,324,76476,3159
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,380715430,9.78038E+12,eng,270,26672,1986
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78035E+12,eng,1728,97731,1536
32,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618346244,9.78062E+12,eng,1137,2819,139
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,618346252,9.78062E+12,eng,398,2009749,12784
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,618260587,9.78062E+12,en-US,1216,1606,139
40,Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,9.78193E+12,eng,288,1214,202
50,Hatchet,Gary Paulsen,3.7,689840926,9.78069E+12,eng,208,254827,11346
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,385326505,9.78039E+12,eng,144,1996,326
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9.78067E+12,eng,256,957,112
59,The Changeling Sea,Patricia A. McKillip,4.07,141312629,9.78014E+12,eng,137,4319,289
67,The Known World,Edward P. Jones,3.83,61159174,9.78006E+12,eng,388,28962,2576
75,Uncommon Carriers,John McPhee,3.95,374280398,9.78037E+12,en-US,248,1561,192
77,The Control of Nature,John McPhee,4.24,374522596,9.78037E+12,en-US,288,3365,290
78,Annals of the Former World,John McPhee,4.33,374518734,9.78037E+12,eng,720,2966,211
79,Coming Into the Country,John McPhee,4.22,374522871,9.78037E+12,eng,448,5452,245
93,Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,753454947,9.78075E+12,eng,352,150657,2175
